t; gX; gY; gZ
829; -82; 18; 11
830; -83; 13; 18
831; -87; 14; 13
832; -87; 10; 15
833; -86; 13; 14
834; -85; 14; 11
835; -88; 12; 16
836; -84; 13; 16
837; -85; 12; 17
838; -88; 17; 16
839; -86; 18; 11
840; -87; 11; 18
841; -87; 12; 19
842; -89; 16; 18
843; -87; 9; 15
844; -89; 13; 11
845; -83; 21; 17
846; -89; 13; 8
847; -84; 9; 19
848; -83; 13; 17
849; -87; 12; 14
850; -86; 12; 20
851; -83; 11; 17
852; -83; 14; 18
853; -85; 12; 14
854; -88; 11; 18
855; -84; 15; 13
856; -83; 14; 19
857; -85; 16; 17
858; -88; 7; 22
859; -84; 12; 10
860; -84; 18; 14
861; -89; 12; 16
862; -89; 14; 15
863; -84; 10; 17
864; -90; 14; 15
865; -83; 17; 12
866; -83; 9; 13
867; -82; 13; 19
868; -87; 12; 18
869; -89; 15; 15
870; -83; 10; 14
871; -89; 15; 13
872; -84; 7; 14
873; -91; 20; 17
874; -90; 9; 12
875; -89; 12; 18
876; -79; 11; 11
877; -87; 14; 17
878; -82; 15; 17
879; -87; 18; 20
880; -91; 10; 17
881; -83; 11; 10
882; -84; 16; 12
883; -89; 15; 15
884; -86; 13; 21
885; -88; 14; 14
886; -85; 17; 16
887; -87; 12; 15
888; -88; 12; 16
889; -82; 8; 12
890; -80; 15; 18
891; -92; 10; 13
892; -90; 14; 21
893; -90; 15; 13
894; -85; 14; 23
895; -86; 10; 15
896; -84; 10; 18
897; -85; 10; 13
898; -80; 12; 23
899; -84; 17; 15
900; -84; 17; 16
901; -88; 9; 14
902; -87; 10; 13
903; -90; 18; 19
904; -88; 17; 13
905; -85; 13; 19
906; -87; 15; 13
907; -85; 12; 11
908; -86; 19; 14
909; -88; 12; 10
910; -89; 12; 13
911; -87; 7; 16
912; -88; 11; 17
913; -87; 9; 18
914; -88; 18; 16
915; -84; 14; 16
916; -86; 14; 13
917; -83; 15; 14
918; -81; 13; 14
919; -85; 15; 17
920; -84; 8; 14
921; -86; 14; 16
922; -85; 9; 20
923; -89; 11; 13
924; -90; 16; 12
925; -89; 7; 19
926; -92; 18; 21
927; -93; 15; 17
928; -85; 14; 16
929; -82; 14; 14
930; -87; 15; 13
931; -80; 18; 13
932; -88; 5; 13
933; -80; 8; 18
934; -85; 12; 18
935; -84; 10; 21
936; -90; 13; 16
937; -88; 17; 11
938; -89; 12; 9
939; -81; 12; 13
940; -83; 14; 16
941; -86; 15; 15
942; -84; 11; 16
943; -86; 11; 12
944; -79; 8; 16
945; -89; 17; 18
946; -85; 17; 16
947; -90; 16; 17
948; -85; 12; 13
949; -87; 13; 19
950; -85; 17; 18
951; -77; 12; 14
952; -88; 12; 12
953; -87; 7; 17
954; -91; 13; 11
955; -87; 15; 13
956; -80; 11; 16
957; -87; 17; 15
958; -84; 13; 15
959; -90; 15; 10
960; -86; 12; 10
961; -84; 14; 11
962; -78; 9; 14
963; -83; 15; 18
964; -86; 14; 18
965; -88; 17; 16
966; -91; 19; 13
967; -90; 11; 14
968; -89; 16; 16
969; -89; 18; 14
970; -82; 11; 13
971; -86; 13; 17
972; -83; 14; 13
973; -84; 17; 12
974; -86; 13; 13
975; -89; 13; 11
976; -85; 14; 14
977; -86; 18; 17
978; -88; 16; 17
979; -84; 13; 13
980; -85; 15; 14
981; -88; 8; 12
982; -80; 10; 8
983; -84; 11; 11
984; -79; 10; 20
985; -82; 14; 18
986; -83; 15; 15
987; -86; 23; 15
988; -88; 11; 19
989; -88; 15; 14
990; -84; 11; 14
991; -85; 11; 19
992; -84; 10; 17
993; -84; 12; 12
994; -88; 8; 9
995; -84; 18; 9
996; -90; 15; 14
997; -90; 13; 15
998; -85; 15; 14
999; -84; 13; 19
1000; -85; 9; 16
